site,depth,fraction.name,fraction.code,pct.n.pre.ashing.fraction,pct.c.pre.ashing.fraction,pct.n.post.ashing,pct.c.post.ashing.fraction,pct.mass.loss.fraction,pct.c.in.org.fraction,pct.c.in.whole.fraction,n.in.org.fract,pct.n.in.whole.fraction,species,pct.c.pre.ashing.bulk,pct.n.pre.ashing.bulk,pct.c.post.ashing.bulk,pct.n.post.ashing.bulk,pct.mass.loss.bulk,fraction.id,pct.c.in.org.fraction.bulk,org.c.in.total.bulk,pct.n.in.org.fraction.bulk,pct.n.in.total.bulk,sample,soil.mass.pre.fract,fraction.mass,org.c.mass.fraction,pct.c.in.fraction,org.c.start.mass.bulk,org.c.fraction.mass,soil.mass.sum.fractions,sum.org.c.mass.fraction,inorg.c.mass.frac,inorg.c.mass.bulk,org.c.bulk.wt,lon,lat,soil.ph,bulk.dens,pct.m,litter.pct.n,litter.pct.c,litter.lignin.mg.g,litter.cell.mg.g,litter.hwec.ppm,soil.npoc.mg.L,fractionated,npoc.mg.g,soil.doc.mass.g
126F,1,POM,pom,1.34,25.89,0,0,50.84,50.92446892,25.89,2.635719906,1.34,picea,7.659986369,0.513921839,0.509062309,0.003698115,14.17322835,fraction.pom,50.96280428,7.223074623,3.603609945,0.510747866,10A,10.63,1.17,0.302913,34.34878132,0.767812832,0.302913,11.065,0.881874082,0,0.054113323,0.767812832,5.425055,52.473263,7.205,NA,NA,1.064,56.2102,228.23025,119.61005,1169.5,66.33,y,0.53064,0.00053064
126F,1,Silt + Clay,sc,0.58,7.71,0.017163311,0.561355786,16.88884626,42.88896126,7.24345073,3.349757381,0.565735374,picea,7.659986369,0.513921839,0.509062309,0.003698115,14.17322835,fraction.sc,50.96280428,7.223074623,3.603609945,0.510747866,10A,10.63,5.819,0.421496398,47.79553073,0.767812832,0.421496398,11.065,0.881874082,0.027148502,0.054113323,0.767812832,5.425055,52.473263,7.205,NA,NA,1.064,56.2102,228.23025,119.61005,1169.5,66.33,y,0.53064,0.00053064
126F,2,Sand + Agg,sa,0.07,1.42,0,0.34,3.03,35.98356436,1.090302,2.310231023,0.07,picea,2.246673496,0.150396836,0.81934723,0.003009005,4.955217429,fraction.sa,35.26841353,1.672482732,3.012694656,0.142866641,10B,11.061,2.913,0.031760497,12.69823954,0.184993315,0.031760497,10.046,0.250117327,0.009604103,0.086107095,0.184993315,5.425055,52.473263,7.335,NA,NA,1.064,56.2102,228.23025,119.61005,1169.5,205.8,y,1.6464,0.0016464
126F,2,POM,pom,1.73,31.39,0,1.25,54.84,56.2098833,30.8255,3.154631656,1.73,picea,2.246673496,0.150396836,0.81934723,0.003009005,4.955217429,fraction.pom,35.26841353,1.672482732,3.012694656,0.142866641,10B,11.061,0.112,0.03452456,13.803346,0.184993315,0.03452456,10.046,0.250117327,0.00063224,0.086107095,0.184993315,5.425055,52.473263,7.335,NA,NA,1.064,56.2102,228.23025,119.61005,1169.5,205.8,y,1.6464,0.0016464
126F,2,Silt + Clay,sc,0.24,3.49,0.019055301,0.94174077,7.439529729,35.19470195,2.618320315,2.988929837,0.222362324,picea,2.246673496,0.150396836,0.81934723,0.003009005,4.955217429,fraction.sc,35.26841353,1.672482732,3.012694656,0.142866641,10B,11.061,7.021,0.183832269,73.49841445,0.184993315,0.183832269,10.046,0.250117327,0.061200631,0.086107095,0.184993315,5.425055,52.473263,7.335,NA,NA,1.064,56.2102,228.23025,119.61005,1169.5,205.8,y,1.6464,0.0016464
126Y,1,POM,pom,1.65,27.78,0.368811403,1.292311052,50.65717415,53.5804408,27.14233721,2.897946947,1.468018032,fraxinus,6.819863399,0.560535552,0.677563863,0.002982754,14.01273885,fraction.pom,44.51124693,6.237244791,3.981882268,0.557970764,3A,10.318,0.289,0.078441355,12.50589751,0.643558918,0.078441355,10.045,0.627234906,0.001842845,0.069911039,0.643558918,5.418579,52.477868,7.1235,0.723,63.131,2.00415,54.5257,106.51905,77.3521,2381.5,144.2,y,1.1536,0.0011536
126Y,1,Sand + Agg,sa,0.46,6.18,0.004143629,0.572631537,12.12034384,46.8367354,5.676773374,3.765228108,0.456358593,fraxinus,6.819863399,0.560535552,0.677563863,0.002982754,14.01273885,fraction.sa,44.51124693,6.237244791,3.981882268,0.557970764,3A,10.318,3.627,0.20589657,32.82607013,0.643558918,0.20589657,10.045,0.627234906,0.01825203,0.069911039,0.643558918,5.418579,52.477868,7.1235,0.723,63.131,2.00415,54.5257,106.51905,77.3521,2381.5,144.2,y,1.1536,0.0011536
126Y,1,Silt + Clay,sc,0.53,6.08,0.0196526,0.557423913,12.93240557,43.26081778,5.594664408,3.965920734,0.512888954,fraxinus,6.819863399,0.560535552,0.677563863,0.002982754,14.01273885,fraction.sc,44.51124693,6.237244791,3.981882268,0.557970764,3A,10.318,6.129,0.342896982,54.66803236,0.643558918,0.342896982,10.045,0.627234906,0.029746218,0.069911039,0.643558918,5.418579,52.477868,7.1235,0.723,63.131,2.00415,54.5257,106.51905,77.3521,2381.5,144.2,y,1.1536,0.0011536
126Y,2,POM,pom,0.42,6.56,0.003388948,0,16.7077378,39.26324484,6.56,2.496910554,0.417177269,fraxinus,3.767673087,0.272871684,0.843709604,0.003268834,8.284023669,fraction.pom,36.14012593,2.993856586,3.25776038,0.269873641,3B,10.467,0.516,0.0338496,10.46439675,0.313366969,0.0338496,11.076,0.323473974,0,0.088311084,0.313366969,5.418579,52.477868,7.333,0.968,35.836,2.00415,54.5257,106.51905,77.3521,2381.5,89.46,y,0.71568,0.00071568
126Y,2,Sand + Agg,sa,0.12,2.13,0.00468812,0.570493562,4.040692147,39.16552583,1.582558327,2.858453658,0.115501312,fraxinus,3.767673087,0.272871684,0.843709604,0.003268834,8.284023669,fraction.sa,36.14012593,2.993856586,3.25776038,0.269873641,3B,10.467,2.591,0.041004086,12.6761624,0.313366969,0.041004086,11.076,0.323473974,0.014184214,0.088311084,0.313366969,5.418579,52.477868,7.333,0.968,35.836,2.00415,54.5257,106.51905,77.3521,2381.5,89.46,y,0.71568,0.00071568
126Y,2,Silt + Clay,sc,0.29,3.7,0.012943114,0.637471657,8.990931893,34.69988454,3.119842986,3.094457792,0.278220593,fraxinus,3.767673087,0.272871684,0.843709604,0.003268834,8.284023669,fraction.sc,36.14012593,2.993856586,3.25776038,0.269873641,3B,10.467,7.969,0.248620288,76.85944085,0.313366969,0.248620288,11.076,0.323473974,0.046232712,0.088311084,0.313366969,5.418579,52.477868,7.333,0.968,35.836,2.00415,54.5257,106.51905,77.3521,2381.5,89.46,y,0.71568,0.00071568
127E,1,Silt + Clay,sc,0.41,5,0,0.34,11.4,41.21719298,4.69876,3.596491228,0.41,quercus,6.374198612,0.447685404,0.386679078,0.003647775,15,fraction.sc,40.30347597,6.045521396,2.963898635,0.444584795,18A,10.838,6.886,0.323556614,54.68509478,0.655213609,0.323556614,10.238,0.591672402,0.020743386,0.041908278,0.655213609,5.423312,52.471716,7.17,0.701,54.347,1.04705,56.50635,212.64325,104.50795,1013.15,66.72,y,0.53376,0.00053376
127E,1,Sand + Agg,sa,0.23,3.4,0,0.29,5.45,57.35422018,3.125805,4.220183486,0.23,quercus,6.374198612,0.447685404,0.386679078,0.003647775,15,fraction.sa,40.30347597,6.045521396,2.963898635,0.444584795,18A,10.838,2.576,0.080520737,13.6090067,0.655213609,0.080520737,10.238,0.591672402,0.007063263,0.041908278,0.655213609,5.423312,52.471716,7.17,0.701,54.347,1.04705,56.50635,212.64325,104.50795,1013.15,66.72,y,0.53376,0.00053376
127E,1,POM,pom,1.42,24.28,0.02,0.2,47.31,51.09833016,24.17462,2.979205242,1.409462,quercus,6.374198612,0.447685404,0.386679078,0.003647775,15,fraction.pom,40.30347597,6.045521396,2.963898635,0.444584795,18A,10.838,0.776,0.187595051,31.70589852,0.655213609,0.187595051,10.238,0.591672402,0.000817749,0.041908278,0.655213609,5.423312,52.471716,7.17,0.701,54.347,1.04705,56.50635,212.64325,104.50795,1013.15,66.72,y,0.53376,0.00053376
127E,2,Sand + Agg,sa,0.13,2.28,0,0.48,3.91,46.51580563,1.818768,3.324808184,0.13,quercus,3.585404198,0.240934952,1.002929195,0.004992598,6.622516556,fraction.sa,39.99830174,2.648894155,3.567722144,0.23627299,18B,11.029,2.901,0.05276246,16.90282915,0.292146536,0.05276246,9.919,0.312151648,0.01338034,0.110613061,0.292146536,5.423312,52.471716,7.3485,0.931,33.541,1.04705,56.50635,212.64325,104.50795,1013.15,108.1,y,0.8648,0.0008648
127E,2,Silt + Clay,sc,0.26,3.4,0,0.56,8.27,34.90099154,2.886312,3.143893591,0.26,quercus,3.585404198,0.240934952,1.002929195,0.004992598,6.622516556,fraction.sc,39.99830174,2.648894155,3.567722144,0.23627299,18B,11.029,6.752,0.194883786,62.43240673,0.292146536,0.194883786,9.919,0.312151648,0.034684214,0.110613061,0.292146536,5.423312,52.471716,7.3485,0.931,33.541,1.04705,56.50635,212.64325,104.50795,1013.15,108.1,y,0.8648,0.0008648
127E,2,POM,pom,1.45,24.32,0,0.13,46.27,52.41009509,24.250151,3.133779987,1.45,quercus,3.585404198,0.240934952,1.002929195,0.004992598,6.622516556,fraction.pom,39.99830174,2.648894155,3.567722144,0.23627299,18B,11.029,0.266,0.064505402,20.66476412,0.292146536,0.064505402,9.919,0.312151648,0.000185798,0.110613061,0.292146536,5.423312,52.471716,7.3485,0.931,33.541,1.04705,56.50635,212.64325,104.50795,1013.15,108.1,y,0.8648,0.0008648
127F,1,Sand + Agg,sa,0.25,3.39,0,0.28,6.77,46.2179616,3.128956,3.692762186,0.25,populus,5.665956958,0.471839666,0.554686238,0.003431405,12.63046999,fraction.sa,41.02246554,5.181330199,3.711989055,0.468841664,15A,10.838,3.194,0.099938855,14.6604968,0.561552567,0.099938855,10.83,0.681688049,0.008337745,0.060116894,0.561552567,5.422491,52.470769,7.279,NA,NA,1.3739,54.71905,157.715,112.7992,2016,70.33,y,0.56264,0.00056264
127F,1,Silt + Clay,sc,0.48,5.77,0,0.53,11.89,44.6006476,5.303017,4.037005887,0.48,populus,5.665956958,0.471839666,0.554686238,0.003431405,12.63046999,fraction.sc,41.02246554,5.181330199,3.711989055,0.468841664,15A,10.838,6.644,0.352332449,51.68529065,0.561552567,0.352332449,10.83,0.681688049,0.031026351,0.060116894,0.561552567,5.422491,52.470769,7.279,NA,NA,1.3739,54.71905,157.715,112.7992,2016,70.33,y,0.56264,0.00056264
127F,1,POM,pom,1.55,23.17,0,0.08,45.86,50.42888792,23.126688,3.379851723,1.55,populus,5.665956958,0.471839666,0.554686238,0.003431405,12.63046999,fraction.pom,41.02246554,5.181330199,3.711989055,0.468841664,15A,10.838,0.992,0.229416745,33.65421255,0.561552567,0.229416745,10.83,0.681688049,0.000429655,0.060116894,0.561552567,5.422491,52.470769,7.279,NA,NA,1.3739,54.71905,157.715,112.7992,2016,70.33,y,0.56264,0.00056264
127F,2,Sand + Agg,sa,0.09,1.64,0,0.45,3.33,36.18573574,1.204985,2.702702703,0.09,populus,3.178650928,0.219590037,0.874683002,0.002809016,6.637441355,fraction.sa,34.58499615,2.396809763,3.170165497,0.219698842,15B,11.029,3.039,0.036619494,13.53589962,0.264344149,0.036619494,11.104,0.270536094,0.013220106,0.097412922,0.264344149,5.422491,52.470769,7.424,NA,NA,1.3739,54.71905,157.715,112.7992,2016,98.66,y,0.78928,0.00078928
127F,2,Silt + Clay,sc,0.24,3.32,0,0.92,6.57,37.44968037,2.460444,3.652968037,0.24,populus,3.178650928,0.219590037,0.874683002,0.002809016,6.637441355,fraction.sc,34.58499615,2.396809763,3.170165497,0.219698842,15B,11.029,7.693,0.189281957,69.96550957,0.264344149,0.189281957,11.104,0.270536094,0.066125643,0.097412922,0.264344149,5.422491,52.470769,7.424,NA,NA,1.3739,54.71905,157.715,112.7992,2016,98.66,y,0.78928,0.00078928
127F,2,POM,pom,0.76,12.12,0,0.16,24.1,49.78655602,11.99856,3.153526971,0.76,populus,3.178650928,0.219590037,0.874683002,0.002809016,6.637441355,fraction.pom,34.58499615,2.396809763,3.170165497,0.219698842,15B,11.029,0.372,0.044634643,16.49859081,0.264344149,0.044634643,11.104,0.270536094,0.000451757,0.097412922,0.264344149,5.422491,52.470769,7.424,NA,NA,1.3739,54.71905,157.715,112.7992,2016,98.66,y,0.78928,0.00078928
130E,1,Silt + Clay,sc,0.481931217,5.809513319,0.003858471,0.060223961,14.77170994,38.9811707,5.758185467,3.24026609,0.478642708,picea,8.661298745,0.630498777,0.374529621,0.003660695,17.44186047,fraction.sc,47.88533925,8.352094058,3.597532364,0.627476575,25A,10.542,7.328,0.421959831,53.97182403,0.880477756,0.421959831,10.725,0.781815028,0.003761305,0.039482913,0.880477756,5.430168,52.460313,7.0085,0.672,73.167,1.064,56.2102,228.23025,119.61005,1169.5,73.94,y,0.59152,0.00059152
130E,1,Sand + Agg,sa,0.505239968,7.014947908,0.003696236,0.114652273,12.8745838,53.71091404,6.915056638,3.899307463,0.502019607,picea,8.661298745,0.630498777,0.374529621,0.003660695,17.44186047,fraction.sa,47.88533925,8.352094058,3.597532364,0.627476575,25A,10.542,2.701,0.18677568,23.89000891,0.880477756,0.18677568,10.725,0.781815028,0.002698063,0.039482913,0.880477756,5.430168,52.460313,7.0085,0.672,73.167,1.064,56.2102,228.23025,119.61005,1169.5,73.94,y,0.59152,0.00059152
130E,1,POM,pom,1.593110674,24.86774668,0.004293298,0,48.61111111,51.15650746,24.86774668,3.272717614,1.590904396,picea,8.661298745,0.630498777,0.374529621,0.003660695,17.44186047,fraction.pom,47.88533925,8.352094058,3.597532364,0.627476575,25A,10.542,0.696,0.173079517,22.13816706,0.880477756,0.173079517,10.725,0.781815028,0,0.039482913,0.880477756,5.430168,52.460313,7.0085,0.672,73.167,1.064,56.2102,228.23025,119.61005,1169.5,73.94,y,0.59152,0.00059152
130E,2,Silt + Clay,sc,0.244690148,3.296704729,0.003470974,0.225690694,10.33464567,29.94140745,3.094338369,2.337553648,0.241577887,picea,3.522244393,0.228831709,0.930794334,0.003355138,7.509881423,fraction.sc,35.43799775,2.66135161,3.005753689,0.225728538,25B,10.333,7.882,0.24389575,75.83374306,0.274997462,0.24389575,10.505,0.321619032,0.015950517,0.096178979,0.274997462,5.430168,52.460313,7.242,0.987,39.249,1.064,56.2102,228.23025,119.61005,1169.5,138.4,y,1.1072,0.0011072
130E,2,Sand + Agg,sa,0.004960369,0.514033675,0.003341904,0,4.674796748,10.99585079,0.514033675,0.037962981,0.001774692,picea,3.522244393,0.228831709,0.930794334,0.003355138,7.509881423,fraction.sa,35.43799775,2.66135161,3.005753689,0.225728538,25B,10.333,2.265,0.011642863,3.620078909,0.274997462,0.011642863,10.505,0.321619032,0,0.096178979,0.274997462,5.430168,52.460313,7.242,0.987,39.249,1.064,56.2102,228.23025,119.61005,1169.5,138.4,y,1.1072,0.0011072
