site,depth,fraction.name,fraction.code,pct.n.pre.ashing,pct.c.pre.ashing,pct.n.post.ashing,pct.c.post.ashing,pct.mass.loss,c.in.org.fract,org.c.in.t.frac,n.in.org.fract,org.n.in.t.frac,species,mean.c.pre,mean.n.pre,mean.c.post,mean.n.post,mean.pct.mass.loss,fraction.id,c.in.org.fraction.bulk,org.c.in.total.bulk,n.in.org.fraction.bulk,org.n.in.total.bulk,sample,soil.start.wt,weight.g,orgc.weight,totwt,pct.c.cont.by.fraction
126Y,2,POM,pom,0.42,6.56,0.003388948,0,16.7077378,39.26324484,6.56,2.496910554,0.417177269,fraxinus,3.767673087,0.272871684,0.843709604,0.003268834,8.284023669,fraction.pom,36.14012593,2.993856586,3.25776038,0.269873641,3B,10.467,0.516,0.0338496,0.323473974,10.46439675
126Y,2,Sand + Agg,sa,0.12,2.13,0.00468812,0.570493562,4.040692147,39.16552583,1.582558327,2.858453658,0.115501312,fraxinus,3.767673087,0.272871684,0.843709604,0.003268834,8.284023669,fraction.sa,36.14012593,2.993856586,3.25776038,0.269873641,3B,10.467,2.591,0.041004086,0.323473974,12.6761624
126Y,2,Silt + Clay,sc,0.29,3.7,0.012943114,0.637471657,8.990931893,34.69988454,3.119842986,3.094457792,0.278220593,fraxinus,3.767673087,0.272871684,0.843709604,0.003268834,8.284023669,fraction.sc,36.14012593,2.993856586,3.25776038,0.269873641,3B,10.467,7.969,0.248620288,0.323473974,76.85944085
127E,1,Silt + Clay,sc,0.41,5,0,0.34,11.4,41.21719298,4.69876,3.596491228,0.41,quercus,6.374198612,0.447685404,0.386679078,0.003647775,15,fraction.sc,40.30347597,6.045521396,2.963898635,0.444584795,18A,10.838,6.886,0.323556614,0.591672402,54.68509478
127E,1,Sand + Agg,sa,0.23,3.4,0,0.29,5.45,57.35422018,3.125805,4.220183486,0.23,quercus,6.374198612,0.447685404,0.386679078,0.003647775,15,fraction.sa,40.30347597,6.045521396,2.963898635,0.444584795,18A,10.838,2.576,0.080520737,0.591672402,13.6090067
127E,1,POM,pom,1.42,24.28,0.02,0.2,47.31,51.09833016,24.17462,2.979205242,1.409462,quercus,6.374198612,0.447685404,0.386679078,0.003647775,15,fraction.pom,40.30347597,6.045521396,2.963898635,0.444584795,18A,10.838,0.776,0.187595051,0.591672402,31.70589852
127E,2,Sand + Agg,sa,0.13,2.28,0,0.48,3.91,46.51580563,1.818768,3.324808184,0.13,quercus,3.585404198,0.240934952,1.002929195,0.004992598,6.622516556,fraction.sa,39.99830174,2.648894155,3.567722144,0.23627299,18B,11.029,2.901,0.05276246,0.312151648,16.90282915
127E,2,Silt + Clay,sc,0.26,3.4,0,0.56,8.27,34.90099154,2.886312,3.143893591,0.26,quercus,3.585404198,0.240934952,1.002929195,0.004992598,6.622516556,fraction.sc,39.99830174,2.648894155,3.567722144,0.23627299,18B,11.029,6.752,0.194883786,0.312151648,62.43240673
127E,2,POM,pom,1.45,24.32,0,0.13,46.27,52.41009509,24.250151,3.133779987,1.45,quercus,3.585404198,0.240934952,1.002929195,0.004992598,6.622516556,fraction.pom,39.99830174,2.648894155,3.567722144,0.23627299,18B,11.029,0.266,0.064505402,0.312151648,20.66476412
127F,1,Sand + Agg,sa,0.25,3.39,0,0.28,6.77,46.2179616,3.128956,3.692762186,0.25,populus,5.665956958,0.471839666,0.554686238,0.003431405,12.63046999,fraction.sa,41.02246554,5.181330199,3.711989055,0.468841664,15A,10.838,3.194,0.099938855,0.681688049,14.6604968
