"site","species","depth","pct.mass.loss.fraction","pct.mass.loss.bulk","soil.mass.pre.fract","fraction.mass","org.c.mass.fraction","sum.org.c.mass.fraction","inorg.c.mass.frac","inorg.c.mass.bulk","org.c.start.mass.bulk","org.pom","org.sa","org.sc","inorg.pom","inorg.sa","inorg.sc"
"158G","quercus",2,42.39130435,8.187134503,10.385,0.199,0.040253573,0.30146594,0.000134431,0.078704948,0.280075384,0.133526105358615,0.11964913475914,0.746824759882245,0.00305658558896667,0.262875842066809,0.734067572344225
"134X","fagus",1,48.26,12.08053691,10.28,0.477,0.12056568,0.51582039,0.00059232,0.052553725,0.530020976,0.233735778133423,0.150251970749454,0.616012251117123,0.0165828123931326,0.246756403071751,0.736660784535117
"135J","acer",2,14.16067521,6.86017138,10.356,0.787,0.0334475,0.27434566,0,0.080851189,0.264254482,0.121917365122525,0.122525247893479,0.755557386983997,0,0.163961150219803,0.836038849780197
"132Q","fagus",1,39.92631375,14.11393653,10.149,1.17,0.2314364,0.648923881,0.0011596,0.05334747,0.664735642,0.35664645179448,0.143659761315427,0.499693786890093,0.0388015319042886,0.224271582883666,0.736926885212046
"158N","fraxinus",2,66.66666667,6.310679612,10.454,0.096,0.027020669,0.297634359,1.85e-05,0.076408343,0.250298828,0.0907847776095796,0.0521937558028835,0.857021466587537,0.00148135846496671,0.0659733001551743,0.932545341379859
"131V1","fraxinus",1,39,10.65088757,10.111,0.602,0.115154774,0.522029383,0.001211826,0.071727025,0.280886319,0.220590598441467,0.139942664874862,0.63946673668367,0.0229222425098905,0.242201398279756,0.734876359210353
"127E","quercus",2,46.27,6.622516556,11.029,0.266,0.064505402,0.312151648,0.000185798,0.110613061,0.292146536,0.206647641982015,0.169028292299773,0.624324065718211,0.00385070765908609,0.27731072303887,0.718838569302044
"130P","populus",1,42.20183486,12.6984127,10.428,0.434,0.092819289,0.496631843,0.0004822,0.072201503,0.458275225,0.186897578776478,0.147820279820438,0.665282141403084,0.0312567495002939,0.530006090593494,0.438737159906212
"130P","populus",2,36.36363636,6.870229008,10.364,0.255,0.047019572,0.271965418,6.36e-06,0.096597701,0.216656682,0.172888054465807,0.147535654698569,0.679576290835624,0.00019596934201383,0.250429098908315,0.749374931749671
"130Q1","acer",2,30.3030303,7.272727273,10.229,0.231,0.027763819,0.256060666,0,0.116540477,0.205437045,0.108426723376561,0.0970918821245275,0.794481394498911,0,0.329718755458833,0.670281244541167
"134T","quercus",2,34.31,7.206392281,10.921,0.275,0.0484,0.309691809,0,0.082532029,0.304833104,0.156284404667609,0.150769696333816,0.692945898998575,0,0.115587493505028,0.884412506494972
"125J","acer",1,40.59405941,11.02941176,10.588,0.369,0.073824689,0.509469442,0,0.06068111,0.466146204,0.144905038288832,0.161116350134303,0.693978611576865,0,0.359504826031409,0.640495173968591
"130Q1","acer",1,52.91828794,12.13872832,10.1,0.386,0.103207728,0.51732214,0.000131251,0.053990808,0.538736894,0.199503790810113,0.137535745135517,0.66296046405437,0.00729888445534082,0.638643130756586,0.354057984788073
"131N2","picea",1,57.18157182,14.47368421,10.478,0.7,0.20502494,0.683063907,0.000612936,0.083270569,0.621311934,0.300154843784119,0.0383524012466265,0.661492754969255,0.0320105469314478,0.233432381417133,0.734557071651419
"131M","quercus",1,56.66666667,9.154929577,10.879,0.182,0.050784334,0.335314382,6.98e-05,0.110236321,0.397253901,0.151452895330926,0.0804085522344222,0.768138552434652,0.00167665803524071,0.245188561934967,0.753134780029792
"160L1","fagus",1,53.3,12.29508197,10.866,0.648,0.178247045,0.561454185,0.000665755,0.05548757,0.380305571,0.317473890915117,0.0655466677738867,0.616979441310996,0.0146030242367364,0.261857709200488,0.723539266562776
"159N","acer",1,53.77906977,10.56338028,10.271,0.58,0.157462819,0.622378189,0.000111111,0.065023507,0.528137737,0.253001827157539,0.106360950897654,0.640637221944807,0.00288343613845902,0.310668231024606,0.686448332836935
"160L1","fagus",2,49.07,6.896551724,10.765,0.188,0.048991884,0.292031361,0.000564916,0.078776921,0.158250184,0.167762406860132,0.0993713719671361,0.732866221172732,0.0077598416669003,0.290448636227566,0.701791522105534
"135J","acer",1,48.62876254,11.02665062,10.088,0.308,0.072651175,0.510975127,0.000221625,0.05366468,0.49111477,0.142181431743509,0.21888801295584,0.638930555300651,0.00540456850095791,0.32226152556392,0.672333905935122
"133U2","populus",1,44.79,14.39393939,10.488,0.526,0.118462317,0.642993216,0.000203283,0.066030325,0.661360495,0.184235718281668,0.179889121878387,0.635875159839944,0.00365799246872789,0.396291352784936,0.600050654746336
"159L","fraxinus",1,52.22,13.38971451,11.045,0.393,0.104031006,0.659042246,0.000506994,0.053584226,0.667247108,0.157851801809986,0.210147138276171,0.632001059913844,0.015597197934845,0.308433101718869,0.675969700346287
"133V1","acer",1,52.63157895,14.28571429,10.459,0.438,0.117048046,0.600179997,0.000291822,0.063761977,0.621492302,0.195021571495362,0.111645382129664,0.693333046374975,0.0108327109696093,0.244150266660227,0.745017022370163
"133U1","picea",1,54.55,18.8976378,10.295,0.631,0.173370121,0.786476652,2.87e-05,0.048042256,0.784644118,0.220438993045198,0.184900763188709,0.594660243766092,0.000909209852286663,0.179369901732472,0.819720888415241
"130T2","fraxinus",1,48.57768053,12.6984127,10.414,0.768,0.191328114,0.800843135,0.000187384,0.043858723,0.615611883,0.23890835250776,0.124606241395826,0.636485406096414,0.0199743871102397,0.468632631128551,0.511392981761209
"158G","quercus",1,58.88501742,15.43624161,10.462,0.334,0.100306368,0.664318878,0.000303196,0.065213451,0.719060092,0.150991295478434,0.157856944116527,0.691151760405038,0.0186889054425683,0.468341211398534,0.512969883158898
"134T","quercus",1,41.52,14.034906,10.28,0.845,0.1763515,0.629845962,0,0.042203197,0.660638811,0.279991475121976,0.126715063388785,0.593293461489239,0,0.128879625307217,0.871120374692783
"157L","quercus",1,55.18134715,17.6056338,10.415,0.548,0.154815036,0.798561818,0.000160264,0.048160752,0.818660354,0.193867315361843,0.195154639618451,0.610978045019706,0.0196141088329456,0.397933606197541,0.582452284969513
"126Y","fraxinus",1,50.65717415,14.01273885,10.318,0.289,0.078441355,0.627234906,0.001842845,0.069911039,0.643558918,0.125058975711631,0.328260700579918,0.546680323708451,0.0369744098509236,0.366204449007569,0.596821141141507
"127E","quercus",1,47.31,15,10.838,0.776,0.187595051,0.591672402,0.000817749,0.041908278,0.655213609,0.317058984610203,0.136090067286931,0.546850948102866,0.0285682514615679,0.246756735285752,0.72467501325268
"158J1","picea",1,43.35,18.26086957,10.174,1.289,0.2777795,0.834209118,0,0.051670675,0.809196113,0.332985452135738,0.179040777613558,0.487973770250703,0,0.144725843494598,0.855274156505402
"130E","picea",1,48.61111111,17.44186047,10.542,0.696,0.173079517,0.781815028,0,0.039482913,0.880477756,0.221381670601502,0.238900089293244,0.539718240105254,0,0.417697675685919,0.582302324314081
"159P","picea",1,51.06761566,17.6056338,10.298,1.198,0.316908964,0.93101344,0.000198447,0.049184968,0.498371157,0.340391395423894,0.112161234750811,0.547447369825295,0.0136878086787192,0.506332698858691,0.47997949246259
"158N","fraxinus",1,60.60606061,15.26717557,10.521,0.306,0.093260551,0.704352048,0.000156791,0.043367857,0.697378972,0.132406161471117,0.0852361289648724,0.782357709564011,0.0311271864728729,0.319743392438677,0.64912942108845
"156H","picea",1,17.72127516,16.22407187,10.367,0.653,0.041979215,0.621593501,0.000400485,0.057626976,0.801127478,0.0675348356521269,0.150118731453534,0.782346432894339,0.00950210024448242,0.255948762946296,0.734549136809222
"131V1","fraxinus",2,46.15,6.111111111,11.451,0.1,0.027599195,0.252129329,0.000500805,0.095593837,0.218588964,0.109464436801004,0.179151402889745,0.711384160309251,0.00613165258839167,0.136783914945425,0.857084432466184
