"site","depth","mean.ph","depth_cm","species","avg.bd","pct.m","mean.c.pre","mean.n.pre","mean.c.post","mean.n.post","mean.pct.mass.loss"
"131V1","2",7.322,"5_15","fraxinus",0.358,18.439,1.357574419,0.124855991,0.941973232,0.003687078,6.965174129
"131V1","3",7.32633333333333,"15_25","fraxinus",1.103,18.3,2.69269894,0.169630425,0.834807761,0.002900085,6.111111111
"131V1","4",7.275,"25_40","fraxinus",1.033,19.04,0.994228824,0.079891535,0.866369317,0.00314276,4.268292683
"131V2","1",7.27,"0_5","populus",0.604,67.41,6.217858768,0.500645432,0.635445051,0.00412074,14.66666667
"131V2","2",7.326,"5_15","populus",1.042,32.063,3.998367053,0.277481849,0.623425732,0.003934999,10.37037037
"131V2","3",6.93966666666667,"15_25","populus",1.033,33.73,2.716192701,0.177547026,0.807497489,0.004120275,5.789473684
"131V2","4",7.4525,"25_40","populus",0.959,29.103,2.208037923,0.134550045,0.769051177,0.004175514,4.487179487
"132Q","1",7.29366666666667,"0_5","fagus",1,35.198,5.8134004755,0.3696828185,0.833603434,0.004026925,11.570857154
"132Q","2",7.022,"5_15","fagus",0.943,28.392,2.711704757,0.179901452,0.782004253,0.002911905,6.313262087
"132Q","3",7.3725,"15_25","fagus",1.019,20.457,2.44378451,0.141834841,1.0336993245,0.0033405755,4.803209341
"132Q","4",7.09225,"25_40","fagus",0.853,22.47,2.167144896,0.128849008,0.8422289455,0.0033768895,4.9527133165
"133U1","1",6.7975,"0_5","picea",0.759,49.133,8.000073063,0.600113071,0.466656198,0.003241034,18.8976378
"133U1","2",7.339,"5_15","picea",0.987,33.618,3.834706066,0.255386332,0.753073476,0.003522448,7.547169811
"133U1","3",7.4155,"15_25","picea",1.016,27.982,2.629318355,0.156157922,1.147752103,0.004120503,5.434782609
"133U1","4",7.387,"25_40","picea",0.908,24.834,2.407496899,0.140431488,0.8746549125,0.0034484885,5.401987353
"133U2","1",7.2195,"0_5","populus",0.794,53.645,6.844836524,0.604947544,0.629579755,0.002771146,14.39393939
"133U2","2",7.291,"5_15","populus",1.045,34.14,4.017776331,0.296765427,1.255282115,0.004812059,8.387096774
"133U2","3",7.386,"15_25","populus",1.127,25.38,2.855821746,0.173888167,0.931625137,0.004095202,6.329113924
"133U2","4",7.149,"25_40","populus",0.941,28.214,2.146780195,0.124528774,1.02294811,0.004654719,5
"133V1","1",7.04266666666667,"0_5","acer",0.77,52.156,6.46472344,0.51316872,0.609637408,0.003396358,14.28571429
